,EVF,Etiqueta
296,mantener conversaciones,False
297,decir pavadas,True
298,hacer x,False
299,envian empresas,False
300,pidio razones,False
301,tener exprimidor,False
302,parir doña,False
303,hacer cositas,True
304,tenia idea,False
305,tener tarea,True
306,necesitar varo,False
307,hacer daño,True
308,puta madre,False
309,tomar desayuno,False
310,papi fueras,False
311,venir estaria,False
312,cosita recargada,False
313,dar dinero,False
314,ver demos,False
315,dar cosa,True
316,dar ganas,True
317,amar señora,False
318,echado alcohol,False
319,usarlo xd,False
320,pasar re,True
321,hacer ejercicio,False
322,dado cosa,True
323,enseñar escenarios,False
324,parecer re,False
325,llevar tijeras,True
326,mirar re,False
327,dar flojera,True
328,dara cosa,True
329,daria cosa,True
330,darte cosa,True
331,dar paja,True
332,ver escenas,False
333,buscar programadoras,False
334,revolver cazuelas,False
335,sembrar cizaña,False
336,existir personas,False
337,leer tuits,False
338,formar grupo,False
339,regalar algun,False
340,salir bravas,False
341,subsidiar gasolina,False
342,aqui maduro,False
343,comer tacos,True
344,ver chismes,False
345,esperar resultados,False
346,leer noticias,False
347,tener palabras,True
348,cantar canciones,False
349,poner chivo,True
350,crear camorra,False
351,dar cuero,True
352,ir pirata,False
353,decir golpistas,False
354,descolgar ropa,False
355,tener organismos,False
356,dar privilegios,False
357,tomar medidas,False
358,dado verga,False
359,poner tipo,False
360,estudiar ingenieria,False
361,esperar transporte,False
362,rendir declaraciones,False
363,echar bolas,True
364,agarrar transporte,False
365,ahorrar gasolina,False
366,ponia cara,False
367,dar plaza,True
368,den plaza,True
369,darle plaza,True
370,dar nota,True
371,daria nota,True
372,pegar arma,False
373,salir banda,False
374,deberian darse,True
375,querer decir,False
376,liberar estres,False
377,ver estados,False
378,querer respuestas,False
379,llegar tus,False
380,dar vergüenza,True
381,vivir momentos,False
382,tirar onda,False
383,tener novia,False
384,decir re,False
385,necesitar fracasos,False
386,estar re,True
387,leer cosas,True
388,boludean chicos,False
389,decir k,False
390,dar gusto,True
391,jamas estare,False
392,tener descuentos,False
393,implicar situaciones,False
394,paso señores,False
395,pedir documento,False
396,valer madres,False
397,hecho pedazos,False
398,hacer nadaaaaaaaa,False
399,tener exito,False
400,destruido 80000,False
401,cantar victoria,False
402,vox ademas,False
403,tener millones,False
404,surtir efectos,False
405,hacer cadenas,True
406,hacer arreglos,True
407,dar batalla,False
408,tenes aire,False
409,hacer referencia,True
410,dale hermano,False
411,reclamar derechos,False
412,ser atras,True
413,tener presos,False
414,costar 1700,False
415,demostrar tus,False
416,dar fresco,True
417,hacer cena,True
418,mamar gallo,True
419,dar poder,False
420,gritar plomo,True
421,analizar situaciones,False
422,mama gallo,True
423,conocido gente,False
424,dar placer,True
425,dar miedo,False
426,recibir plata,False
427,parir dolares,False
428,tener licencia,True
429,tener moño,False
430,matar monto,False
431,usar relleno,False
432,dibujar bicicletas,False
433,bloquear dibujarlas,False
434,pensar motivos,False
435,llamar presidente,False
436,pegar balonazos,True
437,causar daños,False
438,dar bronca,True
439,necesitar gente,False
440,jugar sucio,True
441,investigados condenados,False
442,comprar votos,False
443,hacer trampas,True
444,debido mantenerse,False
445,seran responsables,False
446,jugaste sucio,False
447,necesitar mano,False
448,tenian miedo,False
449,sacar lana,True
450,hacer comentarios,False
451,tener pileta,True
452,decir ay,True
453,prender fuego,False
454,canto igualdad,False
455,reir sise,False
456,hacer lugar,True
457,dura años,False
458,retirar fondos,False
459,pagar deudas,False
460,prometer salidas,False
461,cumplir 20172019,False
462,tenido problemas,False
463,poner linternas,False
464,leimos cuentos,True
465,valido agenda,False
466,ir lastima,False
467,mortar cierras,False
468,dar comida,False
469,tener huevos,False
470,buscar trabajo,True
471,hacer fiesta,True
472,ver peliculas,False
473,hacer proselitismo,False
474,encontrar posiciones,False
475,cargar hilo,False
476,hacer popo,False
477,asesinar gente,False
478,mandar invitaciones,False
479,proteger x,False
480,tener agua,False
481,tener luz,False
482,cumplir años,False
483,pedir ayuda,True
484,hacer tarea,True
485,cobraran completo,False
486,conseguir gas,False
487,tener medicamentos,False
488,dejar letreros,False
489,dar clases,True
490,meter racionamientos,False
491,llegar agua,True
492,rociar veneno,False
493,hacer acopio,True
494,leer volumenes,False
495,necesitar tiempo,True
496,poner llaves,False
497,caer ademas,True
498,provocar despiches,False
499,ejecutar acciones,False
500,sentir presion,False
501,hacer gracia,True
502,evadir impuestos,False
503,traer felicidad,False
504,limpiar calles,False
505,pagar impuestos,False
506,seran letrados,False
507,hacer meritos,False
508,aprovechar d,False
509,trabajar denle,False
510,tenido reparo,True
511,saquear almacenes,False
512,regalar plata,False
513,querer sacarles,False
514,preferir ignorarlos,False
515,necesitar cremita,False
516,disculpar par,False
517,exigir respeto,False
518,conseguir resultados,False
519,amar saludos,False
520,hacer victima,True
521,dar asco,True
522,seguir jaja,False
523,dar paz,True
524,censurar ningun,False
525,dar motivos,False
526,regar noticias,False
527,re paro,False
528,plantar pedazo,False
529,pedi amigos,False
530,ver muñequitos,False
531,re parir,False
532,tener cabellos,False
533,volver correa,False
534,dar matarile,True
535,da coraje,False
536,chepa podeis,False
537,pretender impunidad,False
538,darian matarile,True
539,endeudar salta,False
540,sentir vergüenza,False
541,ir zulianos,False
542,hacer periodismo,False
543,dejar paso,False
544,formar parte,False
545,romper moldes,False
546,doler xq,False
547,contrabandear gasolina,False
548,freír monos,False
549,freir monos,False
550,pedido carnet,False
551,freir mono,False
552,causar caos,False
553,sentir manda,False
554,beber alcohol,False
555,tener sexo,False
556,montar cachos️,True
557,tener relaciones,False
558,consumir drogas,False
559,fumar tabaco,False
560,pasar fotos,False
561,querer ver,False
562,dar costa,False
563,tener miopía,True
564,ver moscas,False
565,visto moscas,False
566,emitir opiniones,False
567,dado nota,True
568,pedir bonos,False
569,pinte pajaritos,True
570,vender ilusiones,False
571,pinto pajaritos,True
572,pintar pajaritos,True
573,producido algun,False
574,tomado medida,False
575,pretexto detras,False
576,nombrado ministro,False
577,dar asiento,True
578,perder espacio,False
579,hacer tiempo,True
580,creer lino,False
581,dar vueltas,True
582,pedir decencia,False
583,hecho cosas,True
584,hacer ajustes,True
585,dormir cierro,False
586,escuchar historias,False
587,pedir permiso,False
588,meter sos,False
589,dar verguenza,False
590,mejorar tiempos,False
591,aclarar cagadas,False
592,hacer competencia,True
593,pasar raqueta,True
594,tener alternativa,False
595,ejecutar 13500,False
596,entender voto,False
597,decir nada,True
598,agarrar vuelo,False
599,dar pata,True
600,quemar tiempo,False
601,ver partidos,False
602,ver imagen,False
603,poner mano,True
604,garantizar derecho,False
605,creer dueños,False
606,esperar video,False
607,darle pata,True
608,poner preso,False
609,producir conciencia,False
610,responder historias,False
611,confundir cosas,True
612,vendran cosas,True
613,corregir miedo,False
614,gobernar tenes,False
615,tener experiencia,True
616,demas quizas,False
617,dar porte,False
618,levantarse alejarse,False
619,dar rabia,True
620,traer consecuencias,False
621,pedi crema,False
622,gobernar solidaridad,False
623,compartir ayuda,True
624,hacer reservaciones,False
625,dara marcha,True
626,vender carro,False
627,llevar sol,False
628,ir rojinegros,False
629,venir elecciones,False
630,significar elecciones,False
631,seguira instrucciones,False
632,vencer 2114,False
633,lanzar juego,False
634,repartir puñetazos,False
635,tener suplentes,False
636,hacer mierda,True
637,tener facciones,False
638,pasar papelitos,False
639,separar ideologias,False
640,leer ridiculeces,False
641,usar prototipo,False
642,ver gente,False
643,meter coñazos,False
644,subir fotos,False
645,venir partidos,False
646,demostrar criterio,False
647,dormir abrazaditos,False
648,morir gente,False
649,tener sueño,False
650,estar pilas,True
651,fichas triunfo,False
652,poner atencion,False
653,colocar supuestos,False
654,apoyar vasos,False
655,sacar polvo,False
656,reemplazar baterias,False
657,tomar acciones,True
658,dejar padrones,False
659,dar ropa,True
660,eliminar autopistas,False
661,mierda queres,False
662,tus caras,False
663,olvidar d,False
664,tener vuelta,True
665,tener credibilidad,False
666,tener partido,True
667,hacer cola,True
668,pagar recursos,False
669,buscar chamba,False
670,mamen cabrones,False
671,envian mensajes,False
672,encarar tas,False
673,jurar fidelidadcosas,False
674,programar publicaciones,False
675,visto cambios,True
676,morir personas,False
677,salir oras,False
678,poner orden,False
679,dar ordenes,False
680,tener culpa,True
681,ver poniendote,False
682,declarados culpables,False
683,decir suegras,False
684,asustar derecha,False
685,echar plomo,True
686,querer payaso,False
687,echar harina,True
688,echarme plomo,True
689,echarle plomo,True
690,llamar patriotas,False
691,dar plomo,True
692,quemar llantas,False
693,caer correa,False
694,dar ordar,True
695,quemar policias,False
696,resguardar abogado,False
697,comer sr,False
698,dado plomo,True
699,dara plomo,True
700,darle plomo,True
701,dar permiso,False
702,decir darles,True
703,hacer desmanes,True
704,ver alcalde,False
705,llevar plomo,True
706,seguir borregos,False
707,decir niño,False
708,soltar gracias,False
709,tener apoyo,False
710,llevar entera,False
711,quitar subsidios,False
712,tirar piedra,True
713,poner gente,False
714,levantar mano,False
715,tener merecido,False
716,hacer limpieza,True
717,tenia permisos,False
718,pedir documentos,False
719,dar garantias,False
720,problema ayuna,False
721,enseñar mama,False
722,presentar testigos,False
723,tener vida,False
724,mandar colombianos,False
725,paso pueblo,False
726,sacar sangre,False
727,dar nervios,False
728,tener memoria,True
729,sembrar padre,False
730,hacernos agua,False
731,comer tambien,True
732,poner ropa,True
733,di cuenta,False
734,llamar felicidad,False
735,tener publicidad,False
736,procesada consistir,False
737,dandose vida,False
738,tener profesor,False
739,envien petroleo,False
740,dar respuesta,True
741,recordar palabras,False
742,ganar indulgencias,False
743,venir d,False
744,jalar mecate,True
745,dado oxigeno,False
746,ir sorpresa,True
747,leer muchachito,False
748,parir pelota,True
749,parado pelota,True
750,parar pelota,True
751,habia excusas,False
752,parir pelotas,True
753,tener recursos,False
754,parar pelotas,True
755,hacer mako,False
756,hecho duque,False
757,ocupar ayuda,False
758,tener rival,True
759,tener porno,False
760,cerrar estaciones,False
761,tener gasolina,False
762,habra elecciones,False
763,tener precedentes,False
764,coger dato,False
765,joda chico,False
766,practicar salto,True
767,pasar roncha,True
768,tener control,False
769,subastar autos,False
770,sacar conclusiones,False
771,identificar oportunidades,False
772,conseguir suerte,False
773,sobrar flow,False
774,recibir estrella,False
775,dejar espacio,False
776,ver novelas,False
777,llamar oposición,False
778,hacer desastres,False
779,gustar corrientes,False
780,mirar buco,False
781,perder paga,False
782,decir papa,False
783,haz parte,False
784,mal recuerdo,False
785,querer tirarme,False
786,decirle niño,False
787,entender chales,False
788,publicar imagenes,False
789,traer comida,False
790,tirar mierda,True
791,traer serenata,False
792,ver presidente,False
793,usar taxis,False
794,mate pueblo,False
795,toquescazar pelea,False
796,formar arcoiris,False
797,crear dependencia,False
798,caer aja,True
799,existir inversion,False
800,tirar mugre,False
801,dado cosas,True
802,cancelar salidas,False
803,generar raves,False
804,llegado informen,False
805,hacer fila,True
806,tomar leche,False
807,deber oro,False
808,llamar gracias,True
809,hacer recomendaciones,False
810,generar dudas,False
811,tener equipo,False
812,cortemos boleta,False
813,fregar escaleras,False
814,tener army,True
815,cubrir tus,False
816,dar chance,True
817,corresponder verdad,True
818,tener metas,False
819,cabron gracias,False
820,amar gracias,False
821,vuestras fotos,False
822,buscar chabones,True
823,pintar vettel,False
824,promocionarse habria,False
825,queria derecho,False
826,llamar grupo,False
827,ver historias,False
828,mia prudencia,False
829,engañar asi,False
830,matar judios,False
831,encantar ver,False
832,tenido protagonismo,False
833,imitar voces,False
834,sentir gripe,False
835,andar metiendose,False
836,buscar bonche,False
837,ver burra,False
838,detestar x,False
839,hacer campañas,True
840,poner agua,True
841,revivir tal,False
842,revivir tenia,False
843,regalar agua,False
844,fuesemos asentamiento,False
845,darme cuenta,True
846,ir jajajaja,True
847,robado elecciones,False
848,tronar duroooo,False
849,haciamos tertulias,False
850,dinamitar torres,False
851,tenia años,False
852,tener playa,True
853,hacer cacerolazo,False
854,agarrar el gusto a caminar se,True
855,coger el gusto de pillar ella,True
856,agarrar el gusto a dormir le,True
857,poner las pilas en hacer algo,True
858,poniendose las pilas para hacer eso,False
859,dar la sensacion de estar algo,False
860,alegrar que maduro,False
861,nacer que vaina,False
862,tener que cara,True
863,entenderan que maduro,False
864,repetir como focas,False
865,creiamos como civilizado,False
866,senti como pavo,False
867,bailar como pavo,False
868,entender porque marvin,False
869,sentir como pavo,False
870,tuiteando como pavo,False
871,quedar como pavo,False
872,decir que ganas,False
873,contar como sexo,False
874,llorar como indigenas,False
875,leer si algun,False
876,ratificar como jefe,True
877,detestar como pasas,False
878,tú que clase,False
879,entender como carajos,False
880,ver como consecuencia,False
881,escuchar como miel,False
882,importar que estes,False
883,mirar como tipo,False
884,dormir mientras tantodebajo,False
885,valer como amenaza,False
886,pm como extraño,False
887,saber que juego,False
888,creer que mando,False
889,hablar si solo,False
890,llegar mientras tanto,False
891,temer que cuchillos,False
892,evitar que metas,False
893,tener como pavo,True
894,intentar que maduro,False
895,decir como parte,False
896,preguntar si traidor,False
897,sembrar que tal,True
898,calificar como terroristas,False
899,salir como chuchas,False
900,tener que reprimirlos,True
901,tratarlos como delincuentes,False
902,conjugar como verbo,False
903,tener como alcaldesa,False
904,ay que belleza,False
905,hacer como ciudadana,True
906,saber como manejo,True
907,habia que pegarles,True
908,dudar que algun,False
909,dejar si agua,True
910,agarrar el coroto,True
911,darme el ministerio,True
912,valer esta mas,True
913,dejar todo limpitome,False
914,poder el huesca,True
915,incomodo los kpero,False
916,dar un bañosi,True
917,perdonar la groseria,False
918,tomar el te,False
919,ganar el caracas,False
920,bola el iluminado,True
921,rt el mas,False
922,decian los chefs,True
923,comer tu robolucion,False
924,servir la defensoria,True
925,encantar esta chama,False
926,llegar el dia,False
927,tambien la audiencia,True
928,desaparecer la version,True
929,proponer la construccion,True
930,defender este procesopero,False
931,terminar la manguangua,False
932,jajaja el closer,False
933,valer el foro,True
934,ver el guason,True
935,destruir el bolivar,False
936,sacar tu cuentapues,False
937,colocar el avion,False
938,armar un mierdero,True
939,dejar su facebook,False
940,violar la constitucion,False
941,esque un dia,False
942,saber todo dios,True
943,tambien la pise,True
944,tener el tipico,True
945,salio el iphone,True
946,criticar el pq,True
947,saco el iphone,True
948,comprar un device,False
949,molesto una aclaracion,False
950,traer la dracucerveza,False
951,calentado la orejaque,False
952,decidir su reeleccion,False
953,derogar la jep,True
954,extrañar tu tierra,False
955,hacer la administracion,True
956,citar el sr,False
957,encender el corazon,True
958,quitarle el chupon,True
959,imaginar un venezuela,False
960,crack el enanl,True
961,tirar todos juntosestamos,False
962,hacer mi tecito,False
963,quitar el tetero,True
964,tomar su bacaco,False
965,pagar el isss,True
966,pasar el raton,True
967,pagar su tiket,False
968,regresar los guarimberos,False
969,recordar la gn,False
970,joder el coronelque,True
971,decir la bendi,True
972,volver estas super,False
973,defendio un chotoentnces,False
974,pinto el bajon,True
975,joteando un hueon,False
976,mamita el deezer,True
977,pasar la oligarquia,False
978,regalar un a10,True
979,deber el pseudoperiodistainventorchayotero,True
980,salir mi tetero,False
981,comenzar el dia,True
982,volvi una maricona,True
983,ir el wifi,True
984,seguir las fa,False
985,poner el lovely,True
986,volver la incomunicacion,False
987,jugar mis karola,False
988,lupa lo mas,False
989,menospreciar la compresion,True
990,dejar el chalequeo,True
991,colgar los guantesnaci,True
992,salir los findes,False
993,dar un lambe,True
994,ganar la liga,True
995,merecer un not,False
996,cortado el wifi,False
997,derrotar la abstencion,True
998,decir el chabon,True
999,cerrar el libro,True
1000,empezar el desamadreeeeeeee,True
1001,igualar los megas,False
1002,coger mi pelao,True
1003,quitar la luznojodaaaaa,True
1004,dizque la fantastica,False
1005,terminar la oracion,False
1006,pagar lo real,False
1007,primo la dome,False
1008,plomar los sr,True
1009,encontrar un bipedo,True
1010,sentir una humillacion,True
1011,falto el fanatico,False
1012,dar la nafta,False
1013,morir el pez,True
1014,abrir el porton,False
1015,entregar los papelesa,True
1016,pedi la separacion,False
1017,cobrar la pension,False
1018,ligue un apreton,True
1019,usar el cosito,True
1020,encontro el gobierno,True
1021,dar el cmdt,True
1022,diferenciar el lara,True
1023,darte el golpeun,False
1024,acabar el esmad,True
1025,meter la patapero,True
1026,dame la lata,True
1027,imaginar el cne,True
1028,matar la perra,True
1029,dejar el camion,True
1030,aprendi la leccion,True
1031,sacarme la piedraestamos,True
1032,entrar el gobierno,True
1033,descuidar la fiscalia,True
1034,visto el man,False
1035,ojalar la autoridad,True
1036,poner tu gobierno,False
1037,pintar el descotrolll,True
1038,poner las pilaso,True
1039,salva ninguna linea,False
1040,tener su coleccion,False
1041,abordar el avion,True
1042,atacar la nacion,False
1043,bajar el sufle,True
1044,escuchar el lao,False
1045,vivir la version,False
1046,volvera el pigdemont,True
1047,instaurar la republica,True
1048,creyo la conclusion,False
1049,saboteo la pc,True
1050,pedir el dni,True
1051,compartir la hello,False
1052,destrozar los moreno,False
1053,hacer una siestoli,True
1054,tocar tantos dni,False
1055,comprar unas bath,False
1056,mascar el aguahay,True
1057,tambien las ad,False
1058,dar la perra,True
1059,respetar los ddhh,True
1060,acompañar la politica,True
1061,hacer el marica,True
1062,gustar el man,False
1063,ojalar esa hpta,True
1064,llevar la putisima,False
1065,dar el overconfidence,True
1066,bajar la barcaccia,True
1067,recorrer el estado,False
1068,sera el dia,False
1069,siguio tu jueguito,False
1070,empezo el gobierno,True
1071,subir la inflacion,True
1072,olvidar el dia,True
1073,creer el papelon,True
1074,protesten este sera,False
1075,sacar el lineup,False
1076,tambien el internet,False
1077,ver el cap,True
1078,jajajaja esposos mozos amantes,False
1079,montar el teatro actual,False
1080,publicar una foto desnuda,False
1081,llegar un presidente serio,False
1082,dar un baño laaargo,True
1083,dar un baño relajante,True
1084,resbalar la indigencia mental,False
1085,tenia la ventana abierta,False
1086,dar un baño tactico,True
1087,darme un baño anticorajestresscansanciovidadeudas,True
1088,darme un baño calentito,True
1089,tener unas ganas brutales,False
1090,gozar una bola jajajajajajajajajaja,True
1091,gozar una bola haha,True
1092,matar los zancudos descarado,False
1093,dificil un hombre bello,False
1094,revisar sus redes sociales,False
1095,hacer una lectura aburrida,True
1096,sacar un video desnudas,False
1097,comprar una cola ahorita,False
1098,tener muchos amigos chinosvenezolanos,False
1099,quechua los incas solo,False
1100,firmar la guardia igual,False
1101,comer el señor leal,False
1102,encantar un asesino despotas,False
1103,darse un gusto llamese,False
1104,cambiar la transformacion digital,False
1105,tristeza esta realidad colombiana,False
1106,tener una traga eterna,False
1107,dejar el mojon mental,True
1108,tener el tiempo suficiente,True
1109,ganar la serie mundial,True
1110,tener la culpa eres,False
1111,producian unas carcajadas tremendas,False
1112,conocer la dictadura militar,False
1113,aumentar el salario solo,False
1114,mierda cualquier cosa mejor,True
1115,querer una pareja estable,False
1116,dar la cara susss,True
1117,subir los niños d,False
1118,usar el aparato estatal,False
1119,pesar la barriga increible,False
1120,pedir un grupo exterminio,False
1121,tener la destreza natural,False
1122,salirme el chofer freno,False
1123,tener los pies hinchados,False
1124,hacer una contractura muscular,False
1125,escuchar el acento venezolano,False
1126,hacer su estrago entrado,False
1127,exprimir el lado bueno,False
1128,cancha el savinismo actual,False
1129,ofrecer la demanda energetica,True
1130,echo el carro grave,False
1131,veian los cruces peatonales,False
1132,traer un beat blanco,False
1133,rompio una pata corrio,True
1134,encontrar un filosofo contemporaneo,False
1135,friega lava plancha limpia,False
1136,reivindicar la labor docente,False
1137,respetada la contratacion colectiva,False
1138,decir las verdades verdaderas,False
1139,pir un matadero autorizado,False
1140,usar sus decisiones autoritarias,False
1141,obtener el voto popular,True
1142,coma la luz roja,True
1143,comer la luz roja,True
1144,comer la luz feliz,True
1145,comio la luz roja,True
1146,comer la luz constituyente,True
1147,dar muchos animos mildred,False
1148,hacer cositas tontas cositas,True
1149,parecer una persona genial,False
1150,meter la cuchara destacada,True
1151,respetar los fallos judiciales,False
1152,meter su cuchara oxidada,True
1153,conseguir el aliado facil,False
1154,mama esta super cansada,False
1155,inataurar la republica toxica,False
1156,dar el golpe final,True
1157,dar el palo cochinero,True
1158,aca los detalles águilas,False
1159,dejar el sur profundo,False
1160,adulterar el sistema solo,False
1161,darte el palo electoral,True
1162,dar el pitazo inicial,True
1163,habian ciertos carros sospechosos,False
1164,resolver tu vida claro,False
1165,tener la materia pasada,False
1166,dar un baño espectacular,True
1167,dar un baño nocturno,True
1168,recordar los momentos felices,False
1169,existir la identidad nacional,False
1170,tener un dia plagado,False
1171,hacer un lio llenos,False
1172,coger la baja laboral,True
1173,tener una enfermedad grave,False
1174,defender su resolucion judicial,False
1175,ahi esta hecho bueno,True
1176,hacer los calculos fisicos,False
1177,verga la visita pana,False
1178,tener una fe inmensa,False
1179,dar el golpe piénsalo,True
1180,dar el golpe franquista,True
1181,agarrar el gusto solo,True
1182,tener el cabello lacio,True
1183,permitir el giro real,True
1184,tener su reto on,True
1185,llegar el momento primera,False
1186,comparar el juego sucio,True
1187,comenzo el juego sucio,True
1188,cansar tu juego sucio,False
1189,utiliceis ese juego sucio,False
1190,largar el juega sucio,True
1191,ver el programa bueno,False
1192,apoyar un metro elevado,False
1193,pagar esos servicios basicos,False
1194,corto la luz tremenda,True
1195,tener una vida saludable,False
1196,cortado la luz chorro,True
1197,andar el internet buen,False
1198,jurar los mato bueno,False
1199,levantar el espiritu electoral,False
1200,sancionar el consumo innecesario,False
1201,disminuir el calentamiento global,False
1202,checar mis redes sociales,False
1203,cortar la señal telefonica,True
1204,apagar la luz solo,True
1205,ojalar mi mama desista,False
1206,hacer un partido perfecto,False
1207,pagar los impuestos justos,False
1208,tener una varita magica,False
1209,llevar el pan diario,False
1210,sacar la madre detras,True
